RT @SpaceX: More photos from today's Falcon 9 launch → https://t.co/095WHWMtKp https://t.co/O2RkVlZnak
RT @SpaceX: Successful deployment of @EchoStar XXIII to a Geosynchronous Transfer Orbit confirmed. https://t.co/LpPWLo8YMN
RT @SpaceX: Back live for final burn and satellite deployment → https://t.co/gtC39uBC7z https://t.co/8FtMsb9ITp
RT @SpaceX: Liftoff! https://t.co/gtC39uBC7z https://t.co/serafPcpy2
"@CapnJesus @Lurpatron @MKBHD @jakerawr 3 is a great car, but definitely Model S"
